Concatenated Naming,Headset Name,Headset Brand,Headset Model,Lens Configuration,SC Attributes FOV
Bigscreen Beyond | Native+R90,Bigscreen Beyond,Bigscreen,Beyond,Native+R90,88.55
DPVR E4 | Native+R120,DPVR E4,DPVR,E4,Native+R120,96.00
HP Reverb | Native+R90,HP Reverb,HP,Reverb,Native+R90,90.43
HP Reverb G2 | Native+R90,HP Reverb G2,HP,Reverb G2,Native+R90,90.85
HTC Vive | Native+R90,HTC Vive,HTC,Vive,Native+R90,111.53
HTC Vive Elite | Native+R90,HTC Vive Elite,HTC,Vive Elite,Native+R90,103.03
HTC Vive Focus 3 | Native+R90,HTC Vive Focus 3,HTC,Vive Focus 3,Native+R90,96.57
HTC Vive Pro | Native+R90,HTC Vive Pro,HTC,Vive Pro,Native+R90,107.71
HTC Vive Pro 2 | Native+R90,HTC Vive Pro 2,HTC,Vive Pro 2,Native+R90,96.49
HTC Vive XR Streaming | Native+R90,HTC Vive XR Streaming,HTC,Vive XR Streaming,Native+R90,91.27
Lenovo Explorer | Native+R90,Lenovo Explorer,Lenovo,Explorer,Native+R90,101.20
Oculus Meta Quest Pro | Native+R72,Oculus Meta Quest Pro,Oculus,Meta Quest Pro,Native+R72,95.57
Oculus Quest | Native+R72,Oculus Quest,Oculus,Quest,Native+R72,100.00
Oculus Quest 2 | Native+R72,Oculus Quest 2,Oculus,Quest 2,Native+R72,98.00
Oculus Quest 3 | Native+R72,Oculus Quest 3,Oculus,Quest 3,Native+R72,98.25
Oculus Rift CV1 | Native+R90,Oculus Rift CV1,Oculus,Rift CV1,Native+R90,89.66
Oculus Rift S | Native+R80,Oculus Rift S,Oculus,Rift S,Native+R80,94.00
Pico 4 | Native+R90,Pico 4,Pico,4,Native+R90,104.00
Pico Neo 3 | Native+R72,Pico Neo 3,Pico,Neo 3,Native+R72,93.87
Pico Neo 2 | Native+R72,Pico Neo 2,Pico,Neo 2,Native+R72,101.00
Pimax 5K Plus | Large+Native+R90,Pimax 5K Plus,Pimax,5K Plus,Large+Native+R90,102.70
Pimax 5K Plus | Large+PP+R90,Pimax 5K Plus,Pimax,5K Plus,Large+PP+R90,94.71
Pimax 5K Plus | Normal+Native+R144,Pimax 5K Plus,Pimax,5K Plus,Normal+Native+R144,102.70
Pimax 5K Plus | Normal+Native+R90,Pimax 5K Plus,Pimax,5K Plus,Normal+Native+R90,102.70
Pimax 5K Plus | Normal+PP+R144,Pimax 5K Plus,Pimax,5K Plus,Normal+PP+R144,100.15
Pimax 5K Plus | Normal+PP+R90,Pimax 5K Plus,Pimax,5K Plus,Normal+PP+R90,100.63
Pimax 5K Plus | Small+Native+R120,Pimax 5K Plus,Pimax,5K Plus,Small+Native+R120,102.70
Pimax 5K Plus | Small+Native+R144,Pimax 5K Plus,Pimax,5K Plus,Small+Native+R144,102.70
Pimax 5K Plus | Small+Native+R90,Pimax 5K Plus,Pimax,5K Plus,Small+Native+R90,102.70
Pimax 5K Plus | Small+PP+R120,Pimax 5K Plus,Pimax,5K Plus,Small+PP+R120,105.63
Pimax 5K Plus | Small+PP+R144,Pimax 5K Plus,Pimax,5K Plus,Small+PP+R144,104.95
Pimax 5K Plus | Small+PP+R90,Pimax 5K Plus,Pimax,5K Plus,Small+PP+R90,105.59
Pimax 5K Plus | Tiny+Native+R120,Pimax 5K Plus,Pimax,5K Plus,Tiny+Native+R120,102.70
Pimax 5K Plus | Tiny+Native+R90,Pimax 5K Plus,Pimax,5K Plus,Tiny+Native+R90,102.70
Pimax 5K Plus | Tiny+PP+R120,Pimax 5K Plus,Pimax,5K Plus,Tiny+PP+R120,110.08
Pimax 5K Plus | Tiny+PP+R90,Pimax 5K Plus,Pimax,5K Plus,Tiny+PP+R90,110.04
Pimax 8K | Large+Native+R80,Pimax 8K,Pimax,8K,Large+Native+R80,104.27
Pimax 8K | Large+PP+R80,Pimax 8K,Pimax,8K,Large+PP+R80,116.14
Pimax 8K | Normal+Native+R80,Pimax 8K,Pimax,8K,Normal+Native+R80,104.27
Pimax 8K | Normal+PP+R80,Pimax 8K,Pimax,8K,Normal+PP+R80,117.12
Pimax 8K | Small+Native+R80,Pimax 8K,Pimax,8K,Small+Native+R80,104.27
Pimax 8K | Small+PP+R80,Pimax 8K,Pimax,8K,Small+PP+R80,117.12
Pimax Artisan | Small+Native+R90+I60,Pimax Artisan,Pimax,Artisan,Small+Native+R90+I60,102.70
Pimax Artisan | Small+Native+R90+I70,Pimax Artisan,Pimax,Artisan,Small+Native+R90+I70,102.70
Pimax Artisan | Small+PP+R90+I60,Pimax Artisan,Pimax,Artisan,Small+PP+R90+I60,102.87
Pimax Artisan | Small+PP+R90+I70,Pimax Artisan,Pimax,Artisan,Small+PP+R90+I70,106.23
Pimax Artisan | Tiny+Native+R90+I60,Pimax Artisan,Pimax,Artisan,Tiny+Native+R90+I60,102.70
Pimax Artisan | Tiny+Native+R90+I70,Pimax Artisan,Pimax,Artisan,Tiny+Native+R90+I70,102.70
Pimax Artisan | Tiny+PP+R90+I60,Pimax Artisan,Pimax,Artisan,Tiny+PP+R90+I60,107.60
Pimax Artisan | Tiny+PP+R90+I70,Pimax Artisan,Pimax,Artisan,Tiny+PP+R90+I70,110.63
Pimax Crystal | Native+R120,Pimax Crystal,Pimax,Crystal,Native+R120,103.75
Pimax Vision 8K Plus | Large+Native+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Large+Native+R110,102.70
Pimax Vision 8K Plus | Large+Native+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Large+Native+R90,102.70
Pimax Vision 8K Plus | Large+PP+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Large+PP+R110,95.07
Pimax Vision 8K Plus | Large+PP+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Large+PP+R90,94.71
Pimax Vision 8K Plus | Normal+Native+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Normal+Native+R110,102.70
Pimax Vision 8K Plus | Normal+Native+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Normal+Native+R90,102.70
Pimax Vision 8K Plus | Normal+PP+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Normal+PP+R110,100.91
Pimax Vision 8K Plus | Normal+PP+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Normal+PP+R90,100.63
Pimax Vision 8K Plus | Small+Native+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Small+Native+R110,102.70
Pimax Vision 8K Plus | Small+Native+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Small+Native+R90,102.70
Pimax Vision 8K Plus | Small+PP+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Small+PP+R110,105.84
Pimax Vision 8K Plus | Small+PP+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Small+PP+R90,105.59
Pimax Vision 8K Plus | Tiny+Native+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Tiny+Native+R110,102.70
Pimax Vision 8K Plus | Tiny+Native+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Tiny+Native+R90,102.70
Pimax Vision 8K Plus | Tiny+PP+R110,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Tiny+PP+R110,110.27
Pimax Vision 8K Plus | Tiny+PP+R90,Pimax Vision 8K Plus,Pimax,Vision 8K Plus,Tiny+PP+R90,110.04
Pimax Vision 8K X | Large+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Large+Native+R75,102.70
Pimax Vision 8K X | Large+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Large+PP+R75,94.30
Pimax Vision 8K X | Normal+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Normal+Native+R75,102.70
Pimax Vision 8K X | Normal+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Normal+PP+R75,99.98
Pimax Vision 8K X | Small+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Small+Native+R75,102.70
Pimax Vision 8K X | Small+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Small+PP+R75,104.83
Pimax Vision 8K X | Tiny+Native+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Tiny+Native+R75,102.70
Pimax Vision 8K X | Tiny+PP+R75,Pimax Vision 8K X,Pimax,Vision 8K X,Tiny+PP+R75,109.25
StarVR One | Compatible+Native+R90,StarVR One,StarVR,One,Compatible+Native+R90,107.22
StarVR One | Normal+Native+R90,StarVR One,StarVR,One,Normal+Native+R90,117.45
Valve Index | Native+R144,Valve Index,Valve,Index,Native+R144,109.16
Valve Index | PP+R144,Valve Index,Valve,Index,PP+R144,108.47
Varjo Aero | Native+R90,Varjo Aero,Varjo,Aero,Native+R90,85.61
Varjo VR-2 | Native+R60,Varjo VR-2,Varjo,VR-2,Native+R60,89.30
Varjo XR-1 | Native+R60,Varjo XR-1,Varjo,XR-1,Native+R60,89.32